ComuneCercaOLD,Comune_residenza_old_MANUALE,appoggio,Comune_residenza,Frequenza sinistri 2021,Costo Medio Totale 2021,Veicoli Anno 2021,Frequenza sinistri 2020,Costo Medio totale 2020,Veicoli Anno 2020,Frequenza sinistri 2019,Costo Medio totale 2019,Veicoli Anno 2019,Frequenza sinistri 2018,Costo Medio totale 2018,Veicoli Anno 2018,Regione,Provincia,Zona
Genova,,,Genova,0.075435786,3576.424238,183109.3808,0.066822002,3416.266239,181781.4426,0.091491297,3001.684379,184094.0137,0.094600022,3027.20668,178805.4548,Liguria,Genova,Nord-ovest
Calvignasco,,,Calvignasco,0.031541652,2849.117647,538.969863,0.033916161,2576.105263,560.204918,0.060910666,3016.382353,558.1945205,0.051161906,2564.392857,547.2821918,Lombardia,Milano,Nord-ovest
Presezzo,,,Presezzo,0.039164318,26161.19101,2272.476712,0.038648551,1787.804598,2251.054645,0.054760207,2758.392,2282.679452,0.066669691,1676.577181,2234.89863,Lombardia,Bergamo,Nord-ovest
Seriate,,,Seriate,0.046781976,2355.980507,10965.76164,0.034374103,3222.321809,10938.46721,0.058788078,4299.088647,10937.59178,0.056598387,2305.127483,10671.68219,Lombardia,Bergamo,Nord-ovest
Perugia,,,Perugia,0.051478327,3986.556119,88095.32603,0.045120662,3576.715749,86545.71585,0.066343373,2909.04148,87574.68493,0.064559624,3405.844304,88244.00822,Umbria,Perugia,Centro
Viterbo,,,Viterbo,0.048762985,4201.434579,35108.59726,0.042877338,2804.938735,35403.31694,0.05875528,3943.689423,35401.07397,0.060222955,2946.839698,35219.12877,Lazio,Viterbo,Centro
Villa Sant'Angelo,,,Villa Sant'Angelo,0.034124587,1953.6,293.0438356,0.031470335,1124.222222,285.9836066,0.034829574,2080.6,287.1123288,0.058260176,2363.133333,257.4657534,Abruzzo,L'Aquila,Sud
Venezia,,,Venezia,0.039502538,4539.464286,69463.89041,0.032832885,4532.158569,68955.25683,0.049082864,4365.362198,70819.0137,0.049267084,4130.522741,67834.33699,Veneto,Venezia,Nord-est
Pagnacco,,,Pagnacco,0.035570492,2601.2,2951.884932,0.030635733,3270.144444,2937.745902,0.048455136,4929,2951.183562,0.048253884,3162.932331,2756.254795,Friuli-Venezia Giulia,Udine,Nord-est
Lipari,,,Lipari,0.030173629,8494.928571,5103.794521,0.027778677,2151.514706,4895.84153,0.037762905,2505.102151,4925.468493,0.044074564,2331.630841,4855.408219,Sicilia,Messina,Isole
